Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,leaf1,Ethernet3,192.168.103.1/31,spine,spine1,Ethernet3,192.168.103.0/31
l3leaf,leaf1,Ethernet4,192.168.103.3/31,spine,spine2,Ethernet3,192.168.103.2/31
l3leaf,leaf1,Ethernet5,192.168.103.5/31,spine,spine3,Ethernet3,192.168.103.4/31
l3leaf,leaf1,Ethernet6,192.168.103.7/31,spine,spine4,Ethernet3,192.168.103.6/31
l3leaf,leaf2,Ethernet3,192.168.103.9/31,spine,spine1,Ethernet4,192.168.103.8/31
l3leaf,leaf2,Ethernet4,192.168.103.11/31,spine,spine2,Ethernet4,192.168.103.10/31
l3leaf,leaf2,Ethernet5,192.168.103.13/31,spine,spine3,Ethernet4,192.168.103.12/31
l3leaf,leaf2,Ethernet6,192.168.103.15/31,spine,spine4,Ethernet4,192.168.103.14/31
l3leaf,leaf3,Ethernet3,192.168.103.17/31,spine,spine1,Ethernet5,192.168.103.16/31
l3leaf,leaf3,Ethernet4,192.168.103.19/31,spine,spine2,Ethernet5,192.168.103.18/31
l3leaf,leaf3,Ethernet5,192.168.103.21/31,spine,spine3,Ethernet5,192.168.103.20/31
l3leaf,leaf3,Ethernet6,192.168.103.23/31,spine,spine4,Ethernet5,192.168.103.22/31
l3leaf,leaf4,Ethernet3,192.168.103.25/31,spine,spine1,Ethernet6,192.168.103.24/31
l3leaf,leaf4,Ethernet4,192.168.103.27/31,spine,spine2,Ethernet6,192.168.103.26/31
l3leaf,leaf4,Ethernet5,192.168.103.29/31,spine,spine3,Ethernet6,192.168.103.28/31
l3leaf,leaf4,Ethernet6,192.168.103.31/31,spine,spine4,Ethernet6,192.168.103.30/31
