Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,borderleaf1,Ethernet1,172.31.252.0/31,l3leaf,borderleaf2,Ethernet1,172.31.252.1/31
l3leaf,borderleaf1,Ethernet2,172.31.252.2/31,l3leaf,borderleaf2,Ethernet2,172.31.252.3/31
l3leaf,borderleaf1,Ethernet3,192.168.103.17/31,spine,spine1,Ethernet7,192.168.103.16/31
l3leaf,borderleaf1,Ethernet4,192.168.103.19/31,spine,spine2,Ethernet7,192.168.103.18/31
l3leaf,borderleaf2,Ethernet3,192.168.203.21/31,spine,spine3,Ethernet8,192.168.203.20/31
l3leaf,borderleaf2,Ethernet4,192.168.203.23/31,spine,spine4,Ethernet8,192.168.203.22/31
l3leaf,leaf1,Ethernet3,192.168.103.1/31,spine,spine1,Ethernet3,192.168.103.0/31
l3leaf,leaf1,Ethernet4,192.168.103.3/31,spine,spine2,Ethernet3,192.168.103.2/31
l3leaf,leaf2,Ethernet3,192.168.103.5/31,spine,spine1,Ethernet4,192.168.103.4/31
l3leaf,leaf2,Ethernet4,192.168.103.7/31,spine,spine2,Ethernet4,192.168.103.6/31
l3leaf,leaf3,Ethernet5,192.168.203.9/31,spine,spine3,Ethernet5,192.168.203.8/31
l3leaf,leaf3,Ethernet6,192.168.203.11/31,spine,spine4,Ethernet5,192.168.203.10/31
l3leaf,leaf4,Ethernet5,192.168.203.13/31,spine,spine3,Ethernet6,192.168.203.12/31
l3leaf,leaf4,Ethernet6,192.168.203.15/31,spine,spine4,Ethernet6,192.168.203.14/31
